Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.04,81,75,1.41,3.45E-02
h,0.04,77,76,0.83,3.59E-01
h,0.04,95,77,1.03,8.13E-01
h,0.04,89,78,0.63,9.65E-03
h,0.04,74,79,0.48,3.28E-04
h,0.04,80,80,0.41,6.97E-06
h,0.04,70,81,0.52,2.01E-03
h,0.04,71,82,1.07,6.47E-01
h,0.04,71,83,0.75,1.72E-01
h,0.04,88,84,0.58,2.59E-03
h,0.04,73,85,0.26,3.07E-09
h,0.04,90,86,1.14,3.64E-01
h,0.04,82,87,0.54,1.19E-03
h,0.04,69,88,0.46,2.89E-04
h,0.04,77,89,0.49,3.11E-04
h,0.04,82,90,0.39,2.49E-06
h,0.04,132,91,1.23,1.10E-01
h,0.04,70,92,0.6,1.29E-02
h,0.04,64,93,0.51,2.28E-03
h,0.04,76,94,0.47,1.66E-04
h,0.04,52,95,0.44,9.08E-04
h,0.04,54,96,0.41,3.29E-04
h,0.04,111,97,1.03,8.27E-01
h,0.04,78,98,0.51,7.27E-04
h,0.04,100,99,0.31,3.14E-10
h,0.04,102,100,1.03,8.20E-01
h,0.05,13,1,1.52,2.38E-01
h,0.05,14,3,0.98,1.00E+00
h,0.05,10,4,0.0,8.61E-04
h,0.05,17,5,0.91,1.00E+00
h,0.05,16,6,1.02,8.49E-01
h,0.05,21,7,0.52,1.37E-01
h,0.05,22,8,0.75,5.39E-01
h,0.05,16,9,0.59,3.00E-01
h,0.05,19,10,1.17,5.85E-01
h,0.05,21,11,0.41,3.16E-02
h,0.05,22,12,1.31,3.84E-01
h,0.05,19,13,0.6,2.65E-01
h,0.05,22,14,0.21,5.60E-04
h,0.05,41,15,0.92,9.07E-01
h,0.05,22,16,0.61,2.35E-01
h,0.05,28,17,0.62,1.87E-01
h,0.05,29,18,0.5,4.45E-02
h,0.05,34,19,0.91,8.98E-01
h,0.05,51,20,0.77,3.11E-01
h,0.05,51,21,0.17,6.39E-09
h,0.05,35,22,0.87,7.08E-01
h,0.05,36,23,1.04,7.98E-01
h,0.05,45,24,0.79,3.88E-01
h,0.05,34,25,0.4,4.71E-03
h,0.05,56,26,0.67,8.96E-02
h,0.05,49,27,0.52,1.15E-02
h,0.05,46,28,0.7,1.73E-01
h,0.05,48,29,0.15,4.55E-09
h,0.05,32,30,0.3,6.61E-04
h,0.05,53,31,0.62,4.46E-02
h,0.05,83,32,1.05,7.36E-01
h,0.05,56,33,0.78,2.88E-01
h,0.05,64,34,0.78,2.77E-01
h,0.05,50,35,0.18,1.23E-08
h,0.05,43,36,0.4,9.49E-04
h,0.05,47,37,0.55,2.16E-02
h,0.05,51,38,0.84,5.37E-01
h,0.05,77,39,0.79,2.16E-01
h,0.05,60,40,0.52,3.81E-03
h,0.05,86,41,0.9,5.75E-01
h,0.05,40,42,0.7,2.17E-01
h,0.05,40,43,0.7,2.17E-01
h,0.05,62,44,0.82,4.03E-01
h,0.05,46,45,0.2,1.64E-07
h,0.05,46,46,0.7,1.73E-01
h,0.05,89,47,1.07,6.82E-01
h,0.05,68,48,1.23,2.45E-01
h,0.05,91,49,0.64,1.25E-02
h,0.05,49,50,0.69,1.56E-01
h,0.05,57,51,0.55,1.10E-02
h,0.05,63,52,0.61,2.29E-02
h,0.05,76,53,0.6,1.08E-02
h,0.05,62,54,0.49,1.53E-03
h,0.05,75,55,1.14,4.15E-01
h,0.05,105,56,1.88,4.87E-06
h,0.05,87,57,0.53,4.72E-04
h,0.05,50,58,0.8,4.10E-01
h,0.05,50,59,0.56,1.99E-02
h,0.05,63,60,0.34,4.82E-06
h,0.05,89,61,1.11,4.58E-01
h,0.05,85,62,0.54,1.11E-03
h,0.05,65,63,0.76,2.11E-01
h,0.05,65,64,0.76,2.11E-01
h,0.05,83,65,0.78,1.77E-01
h,0.05,58,66,0.24,4.89E-08
h,0.05,54,67,0.5,4.33E-03
h,0.05,74,68,0.84,3.94E-01
h,0.05,115,69,1.47,3.86E-03
h,0.05,60,70,0.23,1.42E-08
h,0.05,62,71,0.72,1.24E-01
h,0.05,77,72,0.37,1.89E-06
h,0.05,130,73,1.84,1.14E-06
h,0.05,68,74,0.67,4.96E-02
h,0.05,102,75,1.12,4.40E-01
h,0.05,80,76,0.83,3.26E-01
h,0.05,102,77,0.95,8.23E-01
h,0.05,94,78,0.64,1.14E-02
h,0.05,82,79,0.42,1.15E-05
h,0.05,94,80,0.61,5.15E-03
h,0.05,82,81,0.51,4.38E-04
h,0.05,79,82,0.89,5.60E-01
h,0.05,68,83,0.76,1.90E-01
h,0.05,100,84,0.48,3.01E-05
h,0.05,77,85,0.27,1.97E-09
h,0.05,93,86,1.07,6.30E-01
h,0.05,95,87,0.47,2.04E-05
h,0.05,81,88,0.52,6.84E-04
h,0.05,83,89,0.44,2.33E-05
h,0.05,77,90,0.37,1.89E-06
h,0.05,135,91,1.18,1.97E-01
h,0.05,79,92,0.5,4.64E-04
h,0.05,66,93,0.53,2.61E-03
h,0.05,83,94,0.56,2.04E-03
h,0.05,56,95,0.39,1.57E-04
h,0.05,66,96,0.53,2.61E-03
h,0.05,118,97,0.99,1.00E+00
h,0.05,115,98,0.93,7.27E-01
h,0.05,116,99,0.61,1.57E-03
h,0.05,101,100,1.18,2.38E-01
h,0.06,11,1,1.57,2.94E-01
h,0.06,6,2,0.26,1.99E-01
h,0.06,24,3,0.44,3.04E-02
h,0.06,24,4,0.34,8.06E-03
h,0.06,35,5,1.1,6.93E-01
h,0.06,31,6,0.45,1.67E-02
h,0.06,40,7,0.56,3.94E-02
h,0.06,41,8,1.13,5.42E-01
h,0.06,32,9,0.78,5.21E-01
h,0.06,41,10,1.51,6.42E-02
h,0.06,53,11,0.62,4.46E-02
h,0.06,59,12,0.89,6.98E-01
h,0.06,48,13,1.02,9.12E-01
h,0.06,72,14,0.74,1.29E-01
h,0.06,71,15,1.07,6.47E-01
h,0.06,50,16,0.46,2.45E-03
h,0.06,66,17,0.53,2.61E-03
h,0.06,68,18,0.62,2.26E-02
h,0.06,96,19,1.15,3.36E-01
h,0.06,82,20,0.64,1.67E-02
h,0.06,142,21,0.59,1.32E-04
h,0.06,103,22,0.8,1.74E-01
h,0.06,79,23,1.21,2.45E-01
h,0.06,98,24,0.83,2.68E-01
h,0.06,83,25,0.82,2.97E-01
h,0.06,134,26,1.09,5.03E-01
h,0.06,108,27,0.63,3.89E-03
h,0.06,88,28,0.41,2.50E-06
h,0.06,122,29,1.07,5.76E-01
h,0.06,92,30,0.54,6.29E-04
h,0.06,67,31,0.28,7.90E-08
h,0.06,118,32,0.96,8.35E-01
h,0.06,109,33,0.7,2.48E-02
h,0.06,121,34,0.53,4.38E-05
h,0.06,110,35,0.26,1.79E-13
h,0.06,101,36,0.41,4.31E-07
h,0.06,95,37,0.76,1.20E-01
h,0.06,105,38,0.62,4.25E-03
h,0.06,145,39,1.09,4.79E-01
h,0.06,131,40,0.62,8.35E-04
h,0.06,161,41,0.84,1.83E-01
h,0.06,96,42,0.75,9.17E-02
h,0.06,113,43,0.66,8.14E-03
h,0.06,109,44,0.85,3.24E-01
h,0.06,133,45,1.37,1.29E-02
h,0.06,116,46,0.74,5.34E-02
h,0.06,151,47,0.84,1.89E-01
h,0.06,131,48,0.92,5.58E-01
h,0.06,180,49,0.93,5.77E-01
h,0.06,104,50,0.66,1.29E-02
h,0.06,135,51,0.57,9.45E-05
h,0.06,117,52,0.65,5.30E-03
h,0.06,172,53,1.47,5.72E-04
h,0.06,116,54,0.44,3.12E-07
h,0.06,147,55,0.9,4.62E-01
h,0.06,150,56,1.0,1.00E+00
h,0.06,185,57,0.79,5.45E-02
h,0.06,139,58,0.39,4.56E-10
h,0.06,119,59,1.01,8.89E-01
h,0.06,129,60,0.27,7.42E-15
h,0.06,161,61,0.7,5.16E-03
h,0.06,135,62,0.65,3.05E-03
h,0.06,165,63,1.04,7.65E-01
h,0.06,218,64,0.9,3.39E-01
h,0.06,159,65,0.77,4.50E-02
h,0.06,145,66,0.75,3.66E-02
h,0.06,131,67,0.78,8.77E-02
h,0.06,159,68,0.6,9.65E-05
h,0.06,202,69,1.56,1.22E-05
h,0.06,113,70,0.28,1.47E-12
h,0.06,122,71,0.39,5.73E-09
h,0.06,180,72,0.62,9.95E-05
h,0.06,151,73,0.54,6.83E-06
h,0.06,166,74,1.21,8.40E-02
h,0.06,213,75,0.9,3.59E-01
h,0.06,116,76,0.77,9.37E-02
h,0.06,184,77,0.5,3.22E-08
h,0.06,121,78,0.21,3.70E-17
h,0.06,170,79,0.33,2.26E-15
h,0.06,160,80,1.12,3.23E-01
h,0.06,157,81,0.67,1.99E-03
h,0.06,164,82,0.68,2.41E-03
h,0.06,173,83,0.93,6.08E-01
h,0.06,163,84,1.11,3.60E-01
h,0.06,176,85,0.78,4.92E-02
h,0.06,199,86,0.99,1.00E+00
h,0.06,174,87,0.44,5.43E-10
h,0.06,200,88,1.03,7.87E-01
h,0.06,179,89,0.94,6.53E-01
h,0.06,149,90,0.79,7.48E-02
h,0.06,197,91,1.17,1.44E-01
