Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.02,79,h,18,0.08,6.99e-05,"rgb(254.2156862745098, 19.215686274509807, 19.215686274509807)"
0.02,80,h,24,0.65,0.314,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.02,81,h,17,0.4,0.0562,"rgb(251.0, 98.0, 98.0)"
0.02,82,h,19,0.6,0.265,"rgb(249.0392156862745, 146.0392156862745, 146.0392156862745)"
0.02,83,h,26,0.82,0.667,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.02,84,h,34,0.81,0.532,"rgb(246.921568627451, 197.921568627451, 197.921568627451)"
0.02,85,h,24,0.06,9.8e-07,"rgb(254.45098039215688, 13.450980392156863, 13.450980392156863)"
0.02,86,h,10,0.33,0.105,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.02,87,h,28,0.28,0.000769,"rgb(252.25490196078434, 67.25490196078432, 67.25490196078432)"
0.02,88,h,30,0.4,0.00814,"rgb(251.0, 98.0, 98.0)"
0.02,89,h,42,0.73,0.269,"rgb(247.7058823529412, 178.7058823529412, 178.7058823529412)"
0.02,90,h,18,0.37,0.0322,"rgb(251.31372549019608, 90.31372549019609, 90.31372549019609)"
0.02,91,h,48,0.19,4.51e-08,"rgb(253.1176470588235, 46.117647058823536, 46.117647058823536)"
0.02,92,h,29,0.59,0.123,"rgb(249.11764705882354, 144.11764705882354, 144.11764705882354)"
0.02,93,h,12,0.26,0.0431,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.02,94,h,25,0.41,0.018,"rgb(250.921568627451, 99.92156862745098, 99.92156862745098)"
0.02,95,h,24,0.54,0.124,"rgb(249.58823529411765, 132.58823529411762, 132.58823529411762)"
0.02,96,h,16,0.3,0.0244,"rgb(252.01960784313724, 73.01960784313725, 73.01960784313725)"
0.02,97,h,37,0.07,1.64e-09,"rgb(254.37254901960782, 15.372549019607842, 15.372549019607842)"
0.02,98,h,41,0.75,0.313,"rgb(247.47058823529414, 184.47058823529414, 184.47058823529414)"
0.02,99,h,35,0.08,6.68e-09,"rgb(254.2156862745098, 19.215686274509807, 19.215686274509807)"
0.02,100,h,29,0.8,0.588,"rgb(247.0, 196.0, 196.0)"
0.03,4,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.03,5,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.03,6,h,6,1.31,0.504,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.03,7,h,3,2.61,0.179,"rgb(0.0, 0.0, 255.0)"
